                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     65,                 2.0249,                 1.3157,                0.92723,                0.57772,                0.64931,                0.57197,                 0.2304,                 2.2025,                 1.3846,                 1.0095,              0.0015776,              0.0015776,              0.0015776
                     66,                 1.9799,                 1.2862,                0.92654,                0.49019,                0.61017,                0.54397,                0.19716,                 2.1818,                 1.4947,                 1.0127,               0.001571,               0.001571,               0.001571
                     67,                 2.0908,                 1.3301,                0.94043,                0.57677,                0.49153,                0.53965,                0.20757,                 2.2277,                 1.2525,                 1.0275,              0.0015644,              0.0015644,              0.0015644
                     68,                 2.0065,                 1.2778,                0.94713,                0.58549,                0.52542,                0.51685,                0.19613,                 2.1224,                 1.2787,                 1.0068,              0.0015578,              0.0015578,              0.0015578
                     69,                 1.9245,                 1.2574,                0.91126,                0.45109,                0.54237,                0.47674,                0.17584,                 2.1785,                 1.5296,                0.99567,              0.0015512,              0.0015512,              0.0015512
                     70,                 2.0291,                 1.3422,                0.92464,                0.73576,                0.56642,                 0.6224,                0.20541,                 2.1834,                 1.3495,                 1.0241,              0.0015446,              0.0015446,              0.0015446
                     71,                 2.0474,                 1.2889,                0.91525,                0.68887,                0.56295,                0.62037,                0.19733,                 2.2983,                  1.391,                 1.0622,               0.001538,               0.001538,               0.001538
                     72,                 2.1427,                 1.4078,                0.93487,                0.57514,                0.52542,                0.46806,                 0.1624,                  2.401,                 1.5663,                 1.0664,              0.0015314,              0.0015314,              0.0015314
                     73,                 2.0408,                 1.3153,                0.93214,                0.59557,                0.67797,                0.62973,                0.23091,                 2.2149,                 1.3468,                  1.027,              0.0015248,              0.0015248,              0.0015248
                     74,                  2.058,                 1.3093,                0.92987,                0.53992,                0.72881,                0.62411,                 0.2397,                 2.1641,                 1.3613,                 1.0262,              0.0015182,              0.0015182,              0.0015182
                     75,                  1.881,                 1.2473,                0.91848,                0.60788,                0.62712,                0.62526,                 0.1963,                 2.2918,                 1.4622,                 1.0424,              0.0015116,              0.0015116,              0.0015116
                     76,                  2.014,                 1.3391,                0.90415,                0.63102,                0.57977,                0.63056,                0.22574,                 2.3269,                 1.2846,                 1.0587,               0.001505,               0.001505,               0.001505
                     77,                 1.9898,                 1.3051,                0.90463,                0.60404,                0.59322,                 0.6223,                0.22201,                 2.3299,                 1.2655,                 1.0691,              0.0014984,              0.0014984,              0.0014984
                     78,                 1.9565,                 1.2639,                0.93042,                0.59144,                0.63799,                0.64166,                0.26522,                 2.0723,                 1.2625,                 1.0024,              0.0014918,              0.0014918,              0.0014918
                     79,                 2.0859,                 1.3455,                 0.9276,                0.65445,                0.71186,                0.68297,                0.25844,                 2.2337,                 1.2589,                 1.0327,              0.0014852,              0.0014852,              0.0014852
                     80,                 1.9437,                 1.2662,                0.92983,                0.71303,                0.64407,                0.66578,                0.24617,                 2.2516,                 1.3008,                 1.0415,              0.0014786,              0.0014786,              0.0014786
                     81,                 1.8733,                 1.1966,                0.91955,                0.63993,                0.57627,                0.61469,                0.24764,                 2.1505,                 1.2849,                 1.0075,               0.001472,               0.001472,               0.001472
